,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
0,2,euclidean,1,1,0,"[0.5942768411712511, 0.6285841298066237]"
1,2,euclidean,1,1,1,"[0.5665483584738243, 0.5696821515892421]"
2,2,euclidean,1,1,2,"[0.5774179236912156, 0.5487886196932652]"
3,2,euclidean,1,1,3,"[0.5949423247559894, 0.5536785952433875]"
4,2,euclidean,1,1,4,"[0.751109139307897, 0.55523449655479]"
5,2,euclidean,1,5,0,"[0.7333629103815439, 0.7246054678817515]"
6,2,euclidean,1,5,1,"[0.7187222715173026, 0.7163814180929096]"
7,2,euclidean,1,5,2,"[0.7182786157941438, 0.6890420093354078]"
8,2,euclidean,1,5,3,"[0.7262644188110027, 0.7294954434318738]"
9,2,euclidean,1,5,4,"[0.751109139307897, 0.679484329851078]"
10,2,euclidean,1,10,0,"[0.751109139307897, 0.7523894198710824]"
11,2,euclidean,1,10,1,"[0.7482253771073647, 0.7441653700822405]"
12,2,euclidean,1,10,2,"[0.7287045252883763, 0.7523894198710824]"
13,2,euclidean,1,10,3,"[0.7386867790594499, 0.7497221604801066]"
14,2,euclidean,1,10,4,"[0.751109139307897, 0.7266059124249833]"
15,2,euclidean,2,1,0,"[0.5725377107364685, 0.5714603245165593]"
16,2,euclidean,2,1,1,"[0.5962732919254659, 0.6012447210491221]"
17,2,euclidean,2,1,2,"[0.5791925465838509, 0.5661258057346077]"
18,2,euclidean,2,1,3,"[0.5951641526175687, 0.5879084240942432]"
19,2,euclidean,2,1,4,"[0.5918367346938775, 0.5550122249388753]"
20,2,euclidean,2,5,0,"[0.7158385093167702, 0.7041564792176039]"
21,2,euclidean,2,5,1,"[0.6996450754214729, 0.7334963325183375]"
22,2,euclidean,2,5,2,"[0.7198314108251996, 0.7079350966881529]"
23,2,euclidean,2,5,3,"[0.7105146406388643, 0.7359413202933985]"
24,2,euclidean,2,5,4,"[0.7371339840283939, 0.695932429428762]"
25,2,euclidean,2,10,0,"[0.7491126885536823, 0.7452767281618138]"
26,2,euclidean,2,10,1,"[0.7411268855368234, 0.7506112469437652]"
27,2,euclidean,2,10,2,"[0.734472049689441, 0.7454989997777284]"
28,2,euclidean,2,10,3,"[0.7377994676131322, 0.7432762836185819]"
29,2,euclidean,2,10,4,"[0.7477817213842058, 0.7399422093798622]"
30,2,euclidean,3,1,0,"[0.5944986690328306, 0.5712380529006446]"
31,2,euclidean,3,1,1,"[0.6007098491570542, 0.6045787952878418]"
32,2,euclidean,3,1,2,"[0.592058562555457, 0.5472327183818626]"
33,2,euclidean,3,1,3,"[0.5818544809228039, 0.5699044232051567]"
34,2,euclidean,3,1,4,"[0.589396628216504, 0.5796843743054012]"
35,2,euclidean,3,5,0,"[0.7233806566104702, 0.6923760835741276]"
36,2,euclidean,3,5,1,"[0.712511091393079, 0.7183818626361413]"
