,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
240,2,manhattan,2,1,0,"[0.5725377107364685, 0.5714603245165593]",0.001885321121498
15,2,euclidean,2,1,0,"[0.5725377107364685, 0.5714603245165593]",0.001885321121498
75,2,euclidean,6,1,0,"[0.6024844720496895, 0.5845743498555235]",0.030637885837092
300,2,manhattan,6,1,0,"[0.6024844720496895, 0.5845743498555235]",0.030637885837092
135,2,euclidean,10,1,0,"[0.5944986690328306, 0.5750166703711936]",0.033880754533709
360,2,manhattan,10,1,0,"[0.5944986690328306, 0.5750166703711936]",0.033880754533709
150,2,euclidean,11,1,0,"[0.6018189884649512, 0.5814625472327184]",0.03500903253204
375,2,manhattan,11,1,0,"[0.6018189884649512, 0.5812402756168037]",0.035404829485207
210,2,euclidean,15,1,0,"[0.6033717834960071, 0.5799066459213158]",0.04046364658817
30,2,euclidean,3,1,0,"[0.5944986690328306, 0.5712380529006446]",0.040719654466422
255,2,manhattan,3,1,0,"[0.5944986690328306, 0.5712380529006446]",0.040719654466422
120,2,euclidean,9,1,0,"[0.59849157054126, 0.5750166703711936]",0.040824729750726
345,2,manhattan,9,1,0,"[0.59849157054126, 0.5750166703711936]",0.040824729750726
435,2,manhattan,15,1,0,"[0.6033717834960071, 0.5796843743054012]",0.040862597372905
285,2,manhattan,5,1,0,"[0.6029281277728483, 0.5787952878417426]",0.041694948867145
60,2,euclidean,5,1,0,"[0.6029281277728483, 0.5787952878417426]",0.041694948867145
105,2,euclidean,8,1,0,"[0.5971606033717834, 0.5727939542120472]",0.042539990131802
330,2,manhattan,8,1,0,"[0.5971606033717834, 0.5727939542120472]",0.042539990131802
180,2,euclidean,13,1,0,"[0.6038154392191659, 0.5790175594576572]",0.042827509039166
405,2,manhattan,13,1,0,"[0.6038154392191659, 0.5787952878417426]",0.043227980432806
195,2,euclidean,14,1,0,"[0.6038154392191659, 0.577906201378084]",0.044832946556549
420,2,manhattan,14,1,0,"[0.6038154392191659, 0.5776839297621694]",0.045234960002704
315,2,manhattan,7,1,0,"[0.5978260869565217, 0.5714603245165593]",0.046137520504625
90,2,euclidean,7,1,0,"[0.5978260869565217, 0.5714603245165593]",0.046137520504625
165,2,euclidean,12,1,0,"[0.6018189884649512, 0.5747943987552789]",0.047016097874639
390,2,manhattan,12,1,0,"[0.6018189884649512, 0.5745721271393643]",0.047421133115596
45,2,euclidean,4,1,0,"[0.60226264418811, 0.5716825961324739]",0.053491304899809
270,2,manhattan,4,1,0,"[0.60226264418811, 0.5716825961324739]",0.053491304899809
0,2,euclidean,1,1,0,"[0.5942768411712511, 0.6285841298066237]",0.054578674529894
225,2,manhattan,1,1,0,"[0.5942768411712511, 0.6285841298066237]",0.054578674529894
211,2,euclidean,15,1,1,"[0.6035936113575865, 0.6034674372082685]",0.000209081951301
61,2,euclidean,5,1,1,"[0.5982697426796806, 0.5985774616581463]",0.00051408380398
436,2,manhattan,15,1,1,"[0.6035936113575865, 0.6041342520560125]",0.000894901582862
406,2,manhattan,13,1,1,"[0.599600709849157, 0.5990220048899756]",0.000966082972674
286,2,manhattan,5,1,1,"[0.5982697426796806, 0.5990220048899756]",0.001255817322492
181,2,euclidean,13,1,1,"[0.599600709849157, 0.5985774616581463]",0.001709466621373
196,2,euclidean,14,1,1,"[0.6007098491570542, 0.6034674372082685]",0.004569572243983
421,2,manhattan,14,1,1,"[0.6007098491570542, 0.6039119804400978]",0.005302314553704
1,2,euclidean,1,1,1,"[0.5665483584738243, 0.5696821515892421]",0.005500950146806
226,2,manhattan,1,1,1,"[0.5665483584738243, 0.5696821515892421]",0.005500950146806
31,2,euclidean,3,1,1,"[0.6007098491570542, 0.6045787952878418]",0.006399407589123
256,2,manhattan,3,1,1,"[0.6007098491570542, 0.605023338519671]",0.007129459457169
16,2,euclidean,2,1,1,"[0.5962732919254659, 0.6012447210491221]",0.008268561784595
241,2,manhattan,2,1,1,"[0.5962732919254659, 0.6012447210491221]",0.008268561784595
346,2,manhattan,9,1,1,"[0.6126885536823425, 0.6065792398310735]",0.010071748998483
121,2,euclidean,9,1,1,"[0.6126885536823425, 0.6061346965992442]",0.010812542360418
331,2,manhattan,8,1,1,"[0.6089174800354925, 0.6005779062013781]",0.013885915129416
106,2,euclidean,8,1,1,"[0.6089174800354925, 0.6001333629695488]",0.014636941733215
271,2,manhattan,4,1,1,"[0.6093611357586513, 0.6001333629695488]",0.015376203621545
